Model,Accuracy_Val,F1_Val,Precision_Val,Recall_Val
Stacking,0.7791208791208791,0.7344782034346103,0.7897727272727273,0.6864197530864198
LinearSVC,0.756043956043956,0.7218045112781954,0.732824427480916,0.7111111111111111
GradientBoosting,0.7824175824175824,0.717948717948718,0.8484848484848485,0.6222222222222222
LogisticRegression,0.7593406593406593,0.7099337748344371,0.7657142857142857,0.6617283950617284
Bagging_LR,0.7582417582417582,0.7082228116710876,0.7650429799426934,0.6592592592592592
ComplementNB,0.7274725274725274,0.6990291262135923,0.6873508353221957,0.7111111111111111
VotingSoft,0.7681318681318682,0.6937590711175616,0.8415492957746479,0.5901234567901235
MultinomialNB,0.7307692307692307,0.6788990825688074,0.723463687150838,0.6395061728395062
VotingHard,0.7505494505494505,0.6637037037037037,0.8296296296296296,0.5530864197530864
Bagging_DT,0.7406593406593407,0.6369230769230769,0.8448979591836735,0.5111111111111111
RandomForest,0.7307692307692307,0.6129541864139021,0.8508771929824561,0.47901234567901235
DecisionTree,0.7,0.5714285714285714,0.7844827586206896,0.44938271604938274
SVC_rbf,0.6472527472527473,0.5446808510638298,0.64,0.4740740740740741
AdaBoost,0.6956043956043956,0.5281090289608177,0.8516483516483516,0.38271604938271603
KNN,0.5736263736263736,0.516209476309227,0.5214105793450882,0.5111111111111111
